Unix Time,open,high,low,close,Volume,Formatted Date
1766361364,88623.72,88623.72,88623.71,88623.72,0.00176000,22/12/2025 00:56
1766361425,88626.32,88640.59,88626.31,88640.59,0.50841000,22/12/2025 00:57
1766361485,88649.79,88649.79,88647.20,88647.20,0.93178000,22/12/2025 00:58
1766361545,88640.00,88640.00,88639.99,88639.99,0.01891000,22/12/2025 00:59
1766361606,88658.87,88690.02,88658.86,88690.02,7.22229000,22/12/2025 01:00
1766361666,88769.84,88799.99,88769.84,88799.99,5.89303000,22/12/2025 01:01
1766361727,88751.06,88751.06,88751.05,88751.05,0.09550000,22/12/2025 01:02
1766361787,88705.85,88705.85,88700.00,88700.01,0.11017000,22/12/2025 01:03
1766361848,88726.74,88744.47,88726.74,88744.46,0.21774000,22/12/2025 01:04
1766361908,88759.92,88759.92,88750.25,88759.13,1.02471000,22/12/2025 01:05
1766361969,88850.00,88867.37,88831.10,88831.11,2.45026000,22/12/2025 01:06
1766362029,88831.97,88848.34,88831.97,88848.34,0.15598000,22/12/2025 01:07
1766362091,88888.30,88892.74,88888.30,88892.73,0.16405000,22/12/2025 01:08
1766362151,88874.42,88874.42,88823.77,88823.77,1.96955000,22/12/2025 01:09
1766362212,88939.99,89018.91,88939.99,89010.11,41.70437000,22/12/2025 01:10
1766362272,88906.51,88954.12,88906.51,88954.12,1.05652000,22/12/2025 01:11
1766362333,88945.09,88995.04,88945.08,88995.04,3.06827000,22/12/2025 01:12
1766362393,89008.92,89008.92,88981.22,88981.22,3.20188000,22/12/2025 01:13
1766362454,89366.47,89451.82,89280.15,89451.82,39.27035000,22/12/2025 01:14
1766362514,89480.01,89600.00,89445.97,89564.10,65.30590000,22/12/2025 01:15
1766362574,89531.51,89627.24,89531.50,89587.63,11.75466000,22/12/2025 01:16
1766362635,89600.68,89616.21,89488.00,89488.00,11.88419000,22/12/2025 01:17
1766362695,89248.75,89281.92,89180.35,89207.17,5.67635000,22/12/2025 01:18
1766362756,89162.30,89205.15,89136.22,89189.98,13.53926000,22/12/2025 01:19
1766362816,89154.01,89186.46,89130.50,89130.50,1.71547000,22/12/2025 01:20
1766362876,88972.66,88980.54,88943.29,88943.29,1.77742000,22/12/2025 01:21
1766362937,88945.07,88976.30,88896.86,88896.87,2.96749000,22/12/2025 01:22
1766362997,89065.77,89065.77,88945.79,88945.79,1.91165000,22/12/2025 01:23
1766363058,89039.99,89066.00,89019.11,89026.10,4.26399000,22/12/2025 01:24
1766363118,88920.43,88929.17,88883.24,88918.49,6.31874000,22/12/2025 01:25
1766363179,88862.81,88870.46,88787.96,88807.02,7.82172000,22/12/2025 01:26
1766363239,88950.00,89026.32,88949.99,88999.99,6.64583000,22/12/2025 01:27
1766363300,88923.25,88932.93,88907.17,88907.18,0.93721000,22/12/2025 01:28
1766363360,88983.73,89015.06,88960.55,89015.06,0.99023000,22/12/2025 01:29
1766363420,89005.78,89056.00,88949.36,88949.36,2.57875000,22/12/2025 01:30
1766363481,88974.35,88974.36,88909.01,88925.78,1.33726000,22/12/2025 01:31
1766363541,88915.78,88933.74,88861.38,88861.38,1.84176000,22/12/2025 01:32
1766363602,88845.33,88862.89,88845.33,88862.88,2.53265000,22/12/2025 01:33
1766363662,88879.99,88934.62,88856.89,88901.89,4.79498000,22/12/2025 01:34
1766363722,88907.21,88907.21,88893.46,88895.10,0.40062000,22/12/2025 01:35
1766363783,88964.88,88987.64,88941.43,88941.44,1.90285000,22/12/2025 01:36
1766363843,88995.22,88995.55,88962.40,88990.74,1.48630000,22/12/2025 01:37
1766363903,89144.33,89176.47,89102.01,89103.10,13.30327000,22/12/2025 01:38
1766363964,89134.63,89178.75,89134.63,89165.85,4.20038000,22/12/2025 01:39
1766364024,89160.34,89300.00,89160.34,89300.00,5.89565000,22/12/2025 01:40
1766364085,89200.01,89200.01,89156.00,89183.26,1.69970000,22/12/2025 01:41
1766364145,89114.90,89120.65,89048.06,89048.06,1.73489000,22/12/2025 01:42
1766364205,89028.39,89076.46,89028.39,89042.87,0.87396000,22/12/2025 01:43
1766364266,89084.18,89099.99,89073.26,89099.99,0.76374000,22/12/2025 01:44
1766364326,89127.98,89150.00,89040.00,89040.00,8.65243000,22/12/2025 01:45
1766364387,89024.88,89072.60,89024.87,89072.60,2.60692000,22/12/2025 01:46
1766364447,89114.00,89139.94,89096.99,89139.94,1.89057000,22/12/2025 01:47
1766364507,89149.99,89232.93,89147.73,89195.53,4.12189000,22/12/2025 01:48
1766364568,89160.01,89182.85,89160.00,89182.84,2.84194000,22/12/2025 01:49
1766364628,89143.97,89188.92,89143.97,89168.90,3.51239000,22/12/2025 01:50
1766364689,89148.51,89148.51,89082.82,89082.83,2.32488000,22/12/2025 01:51
1766364749,89109.60,89109.60,89016.01,89016.01,4.28052000,22/12/2025 01:52
1766364810,88970.98,88999.99,88970.98,88972.97,5.35201000,22/12/2025 01:53
1766364870,88966.40,88966.40,88922.85,88922.85,1.54449000,22/12/2025 01:54
