Unix Time,Open,High,Low,Close,Volume,Formatted Date
1766436681,88157.92,88157.92,88157.92,88157.92,0.00000000,22/12/2025 21:51:21
1766436682,88157.93,88157.93,88157.93,88157.93,0.03954000,22/12/2025 21:51:22
1766436683,88157.93,88157.93,88157.92,88157.93,0.09796000,22/12/2025 21:51:23
1766436684,88157.93,88157.93,88157.93,88157.93,0.01911000,22/12/2025 21:51:24
1766436685,88157.93,88157.93,88157.92,88157.92,0.01060000,22/12/2025 21:51:25
1766436686,88157.93,88157.93,88157.92,88157.92,0.06901000,22/12/2025 21:51:26
1766436687,88157.93,88157.93,88157.93,88157.93,0.00237000,22/12/2025 21:51:27
1766436688,88157.93,88157.93,88157.93,88157.93,0.00160000,22/12/2025 21:51:28
1766436689,88157.93,88157.93,88157.92,88157.92,0.00681000,22/12/2025 21:51:29
1766436690,88157.93,88157.93,88157.93,88157.93,0.00030000,22/12/2025 21:51:30
1766436691,88157.92,88157.93,88157.92,88157.93,0.04700000,22/12/2025 21:51:31
1766436692,88157.93,88157.93,88157.93,88157.93,0.02241000,22/12/2025 21:51:32
1766436693,88157.92,88157.93,88157.92,88157.93,0.00258000,22/12/2025 21:51:33
1766436694,88157.93,88157.93,88157.93,88157.93,0.00006000,22/12/2025 21:51:34
1766436695,88157.93,88157.93,88157.93,88157.93,0.01996000,22/12/2025 21:51:35
1766436696,88157.92,88157.92,88150.01,88150.01,0.05382000,22/12/2025 21:51:36
1766436697,88150.01,88150.01,88150.00,88150.01,0.05652000,22/12/2025 21:51:37
1766436698,88150.00,88150.01,88148.06,88148.06,0.16968000,22/12/2025 21:51:38
1766436699,88148.01,88148.01,88148.01,88148.01,0.01350000,22/12/2025 21:51:39
1766436700,88148.01,88148.01,88148.00,88148.00,0.02379000,22/12/2025 21:51:40
1766436701,88148.01,88148.01,88148.01,88148.01,0.00332000,22/12/2025 21:51:41
1766436702,88148.00,88148.01,88148.00,88148.01,0.02239000,22/12/2025 21:51:42
