Unix Time,Open,High,Low,Close,Volume,Formatted Date
1768327225,76.64,76.64,76.64,76.64,0.64800000,13/01/2026 19:00:25
1768327226,76.64,76.64,76.64,76.64,0.00000000,13/01/2026 19:00:26
1768327227,76.64,76.64,76.64,76.64,0.00000000,13/01/2026 19:00:27
1768327228,76.64,76.64,76.64,76.64,0.00000000,13/01/2026 19:00:28
1768327229,76.64,76.64,76.64,76.64,0.00000000,13/01/2026 19:00:29
1768327230,76.64,76.64,76.64,76.64,0.00000000,13/01/2026 19:00:30
1768327231,76.65,76.65,76.65,76.65,2.61000000,13/01/2026 19:00:31
1768327232,76.65,76.65,76.65,76.65,2.76500000,13/01/2026 19:00:32
1768327233,76.64,76.66,76.64,76.66,3.21600000,13/01/2026 19:00:33
1768327234,76.66,76.68,76.66,76.68,23.65600000,13/01/2026 19:00:34
1768327235,76.68,76.68,76.68,76.68,5.00000000,13/01/2026 19:00:35
1768327236,76.68,76.68,76.68,76.68,0.00000000,13/01/2026 19:00:36
1768327237,76.67,76.67,76.67,76.67,0.30700000,13/01/2026 19:00:37
1768327238,76.67,76.67,76.67,76.67,0.13000000,13/01/2026 19:00:38
1768327239,76.66,76.66,76.66,76.66,9.47600000,13/01/2026 19:00:39
1768327240,76.66,76.66,76.65,76.65,30.57300000,13/01/2026 19:00:40
1768327241,76.64,76.64,76.63,76.63,14.17400000,13/01/2026 19:00:41
1768327242,76.63,76.63,76.63,76.63,0.00000000,13/01/2026 19:00:42
1768327243,76.64,76.65,76.64,76.65,4.56200000,13/01/2026 19:00:43
1768327244,76.65,76.65,76.65,76.65,0.00000000,13/01/2026 19:00:44
1768327245,76.65,76.65,76.65,76.65,0.26200000,13/01/2026 19:00:45
1768327246,76.64,76.64,76.64,76.64,2.39000000,13/01/2026 19:00:46
1768327247,76.64,76.64,76.64,76.64,0.00000000,13/01/2026 19:00:47
1768327248,76.63,76.63,76.62,76.62,2.97900000,13/01/2026 19:00:48
1768327249,76.62,76.62,76.61,76.61,4.20500000,13/01/2026 19:00:49
1768327250,76.61,76.61,76.61,76.61,0.00000000,13/01/2026 19:00:50
1768327251,76.61,76.61,76.61,76.61,1.71400000,13/01/2026 19:00:51
1768327252,76.62,76.62,76.62,76.62,3.14500000,13/01/2026 19:00:52
1768327253,76.62,76.62,76.62,76.62,0.67800000,13/01/2026 19:00:53
1768327254,76.63,76.64,76.62,76.62,11.25700000,13/01/2026 19:00:54
1768327255,76.62,76.62,76.62,76.62,0.00000000,13/01/2026 19:00:55
1768327256,76.62,76.62,76.62,76.62,2.88700000,13/01/2026 19:00:56
1768327257,76.62,76.63,76.58,76.59,96.16300000,13/01/2026 19:00:57
1768327258,76.60,76.62,76.60,76.62,70.88700000,13/01/2026 19:00:58
