Unix Time,Open,High,Low,Close,Volume,Formatted Date
1768331598,76.36,76.36,76.36,76.36,0.00000000,13/01/2026 20:13:18
1768331599,76.36,76.36,76.36,76.36,0.00000000,13/01/2026 20:13:19
1768331600,76.36,76.36,76.36,76.36,0.00000000,13/01/2026 20:13:20
1768331601,76.36,76.36,76.34,76.34,185.27400000,13/01/2026 20:13:21
1768331602,76.34,76.34,76.34,76.34,0.00000000,13/01/2026 20:13:22
1768331603,76.34,76.34,76.34,76.34,0.00000000,13/01/2026 20:13:23
1768331604,76.35,76.36,76.35,76.36,107.62200000,13/01/2026 20:13:24
1768331605,76.36,76.36,76.36,76.36,0.00000000,13/01/2026 20:13:25
1768331606,76.37,76.37,76.37,76.37,1.00800000,13/01/2026 20:13:26
1768331607,76.37,76.37,76.37,76.37,0.00000000,13/01/2026 20:13:27
1768331608,76.37,76.37,76.37,76.37,4.94400000,13/01/2026 20:13:28
1768331609,76.37,76.38,76.37,76.38,20.90500000,13/01/2026 20:13:29
1768331610,76.38,76.38,76.38,76.38,1.23600000,13/01/2026 20:13:30
1768331611,76.38,76.38,76.38,76.38,10.94100000,13/01/2026 20:13:31
1768331612,76.38,76.38,76.38,76.38,2.47200000,13/01/2026 20:13:32
1768331613,76.38,76.38,76.38,76.38,4.94400000,13/01/2026 20:13:33
1768331614,76.38,76.38,76.38,76.38,0.00000000,13/01/2026 20:13:34
1768331615,76.38,76.38,76.38,76.38,5.07400000,13/01/2026 20:13:35
1768331616,76.38,76.38,76.38,76.38,4.40000000,13/01/2026 20:13:36
1768331617,76.38,76.38,76.38,76.38,0.00000000,13/01/2026 20:13:37
1768331618,76.38,76.38,76.38,76.38,0.00000000,13/01/2026 20:13:38
1768331619,76.38,76.38,76.38,76.38,0.00000000,13/01/2026 20:13:39
1768331620,76.38,76.38,76.38,76.38,0.00000000,13/01/2026 20:13:40
1768331621,76.38,76.38,76.38,76.38,0.00000000,13/01/2026 20:13:41
1768331622,76.38,76.38,76.38,76.38,0.13700000,13/01/2026 20:13:42
1768331623,76.38,76.38,76.38,76.38,0.00000000,13/01/2026 20:13:43
1768331624,76.38,76.38,76.38,76.38,0.00000000,13/01/2026 20:13:44
1768331625,76.38,76.38,76.38,76.38,0.00000000,13/01/2026 20:13:45
1768331626,76.38,76.38,76.38,76.38,0.09200000,13/01/2026 20:13:46
1768331627,76.38,76.38,76.38,76.38,0.00000000,13/01/2026 20:13:47
1768331628,76.38,76.38,76.38,76.38,0.00000000,13/01/2026 20:13:48
1768331629,76.38,76.38,76.38,76.38,0.09700000,13/01/2026 20:13:49
1768331630,76.38,76.38,76.38,76.38,3.27300000,13/01/2026 20:13:50
1768331631,76.37,76.37,76.37,76.37,0.08500000,13/01/2026 20:13:51
1768331632,76.37,76.37,76.37,76.37,0.00000000,13/01/2026 20:13:52
1768331633,76.37,76.37,76.37,76.37,0.00000000,13/01/2026 20:13:53
1768331634,76.37,76.37,76.37,76.37,0.00000000,13/01/2026 20:13:54
1768331635,76.37,76.37,76.37,76.37,0.00000000,13/01/2026 20:13:55
1768331636,76.38,76.38,76.38,76.38,11.01600000,13/01/2026 20:13:56
1768331637,76.38,76.38,76.38,76.38,0.00000000,13/01/2026 20:13:57
1768331638,76.38,76.38,76.38,76.38,0.00000000,13/01/2026 20:13:58
1768331639,76.38,76.38,76.38,76.38,1.47400000,13/01/2026 20:13:59
1768331640,76.38,76.38,76.38,76.38,0.00000000,13/01/2026 20:14:00
1768331641,76.38,76.38,76.38,76.38,0.00000000,13/01/2026 20:14:01
1768331642,76.38,76.40,76.38,76.39,55.41300000,13/01/2026 20:14:02
1768331643,76.39,76.39,76.39,76.39,0.00000000,13/01/2026 20:14:03
1768331644,76.39,76.39,76.39,76.39,2.66400000,13/01/2026 20:14:04
1768331645,76.38,76.38,76.38,76.38,22.58000000,13/01/2026 20:14:05
1768331646,76.38,76.38,76.36,76.36,10.87800000,13/01/2026 20:14:06
1768331647,76.36,76.36,76.36,76.36,0.00000000,13/01/2026 20:14:07
1768331648,76.36,76.36,76.36,76.36,0.00000000,13/01/2026 20:14:08
1768331649,76.36,76.36,76.36,76.36,0.00000000,13/01/2026 20:14:09
1768331650,76.36,76.36,76.36,76.36,0.00000000,13/01/2026 20:14:10
1768331651,76.36,76.36,76.36,76.36,0.00000000,13/01/2026 20:14:11
1768331652,76.36,76.36,76.36,76.36,2.49700000,13/01/2026 20:14:12
1768331653,76.35,76.35,76.35,76.35,0.96000000,13/01/2026 20:14:13
1768331654,76.36,76.36,76.36,76.36,0.29300000,13/01/2026 20:14:14
1768331655,76.36,76.36,76.36,76.36,65.47900000,13/01/2026 20:14:15
1768331656,76.36,76.36,76.36,76.36,0.00000000,13/01/2026 20:14:16
1768331657,76.36,76.36,76.36,76.36,0.00000000,13/01/2026 20:14:17
1768331658,76.36,76.36,76.36,76.36,0.00000000,13/01/2026 20:14:18
1768331659,76.36,76.36,76.36,76.36,0.00000000,13/01/2026 20:14:19
1768331660,76.36,76.36,76.36,76.36,0.00000000,13/01/2026 20:14:20
1768331662,76.36,76.36,76.36,76.36,0.00000000,13/01/2026 20:14:22
1768331663,76.36,76.36,76.36,76.36,3.03600000,13/01/2026 20:14:23
1768331664,76.36,76.36,76.36,76.36,0.00000000,13/01/2026 20:14:24
1768331665,76.36,76.36,76.35,76.35,0.48200000,13/01/2026 20:14:25
1768331666,76.35,76.35,76.35,76.35,0.00000000,13/01/2026 20:14:26
1768331667,76.36,76.36,76.36,76.36,1.36200000,13/01/2026 20:14:27
1768331668,76.36,76.37,76.36,76.37,24.97800000,13/01/2026 20:14:28
1768331669,76.36,76.36,76.36,76.36,0.20700000,13/01/2026 20:14:29
1768331670,76.36,76.36,76.36,76.36,0.13100000,13/01/2026 20:14:30
1768331671,76.36,76.36,76.36,76.36,0.00000000,13/01/2026 20:14:31
1768331672,76.36,76.36,76.36,76.36,0.00000000,13/01/2026 20:14:32
1768331673,76.36,76.36,76.36,76.36,0.00000000,13/01/2026 20:14:33
1768331674,76.36,76.36,76.36,76.36,0.00000000,13/01/2026 20:14:34
1768331675,76.35,76.36,76.35,76.36,1.50000000,13/01/2026 20:14:35
1768331676,76.36,76.36,76.36,76.36,0.00000000,13/01/2026 20:14:36
1768331677,76.36,76.36,76.36,76.36,2.12400000,13/01/2026 20:14:37
1768331678,76.36,76.36,76.36,76.36,0.00000000,13/01/2026 20:14:38
1768331679,76.36,76.36,76.36,76.36,0.00000000,13/01/2026 20:14:39
1768331680,76.36,76.36,76.36,76.36,0.00000000,13/01/2026 20:14:40
1768331681,76.36,76.36,76.36,76.36,0.32800000,13/01/2026 20:14:41
1768331682,76.36,76.36,76.36,76.36,65.47900000,13/01/2026 20:14:42
1768331683,76.36,76.36,76.36,76.36,0.00000000,13/01/2026 20:14:43
1768331684,76.36,76.36,76.36,76.36,0.00000000,13/01/2026 20:14:44
1768331685,76.36,76.36,76.36,76.36,0.00000000,13/01/2026 20:14:45
1768331686,76.35,76.35,76.35,76.35,0.25800000,13/01/2026 20:14:46
1768331687,76.36,76.40,76.36,76.40,243.21200000,13/01/2026 20:14:47
1768331688,76.39,76.39,76.36,76.36,274.21200000,13/01/2026 20:14:48
1768331689,76.36,76.36,76.36,76.36,0.00000000,13/01/2026 20:14:49
1768331690,76.36,76.36,76.36,76.36,0.00000000,13/01/2026 20:14:50
1768331691,76.36,76.36,76.36,76.36,0.00000000,13/01/2026 20:14:51
1768331692,76.36,76.36,76.36,76.36,0.00000000,13/01/2026 20:14:52
1768331693,76.36,76.40,76.36,76.40,13.70100000,13/01/2026 20:14:53
1768331694,76.40,76.40,76.40,76.40,0.65500000,13/01/2026 20:14:54
1768331695,76.40,76.40,76.40,76.40,0.00000000,13/01/2026 20:14:55
1768331696,76.40,76.40,76.40,76.40,0.00000000,13/01/2026 20:14:56
1768331697,76.40,76.40,76.40,76.40,0.40000000,13/01/2026 20:14:57
1768331698,76.40,76.40,76.40,76.40,0.06800000,13/01/2026 20:14:58
1768331699,76.40,76.40,76.40,76.40,0.00000000,13/01/2026 20:14:59
1768331700,76.41,76.41,76.41,76.41,1.91800000,13/01/2026 20:15:00
1768331701,76.41,76.41,76.41,76.41,1.30500000,13/01/2026 20:15:01
1768331702,76.42,76.43,76.42,76.43,0.90900000,13/01/2026 20:15:02
1768331703,76.43,76.43,76.43,76.43,0.00000000,13/01/2026 20:15:03
1768331704,76.43,76.43,76.43,76.43,0.00000000,13/01/2026 20:15:04
1768331705,76.43,76.43,76.43,76.43,0.00000000,13/01/2026 20:15:05
1768331706,76.43,76.43,76.43,76.43,0.00000000,13/01/2026 20:15:06
1768331707,76.43,76.43,76.43,76.43,2.17100000,13/01/2026 20:15:07
1768331708,76.43,76.43,76.43,76.43,0.00000000,13/01/2026 20:15:08
1768331709,76.43,76.43,76.43,76.43,3.24500000,13/01/2026 20:15:09
1768331710,76.43,76.43,76.43,76.43,0.42400000,13/01/2026 20:15:10
1768331711,76.43,76.43,76.43,76.43,0.00000000,13/01/2026 20:15:11
1768331712,76.43,76.43,76.43,76.43,0.00000000,13/01/2026 20:15:12
1768331713,76.43,76.43,76.43,76.43,0.00000000,13/01/2026 20:15:13
1768331714,76.43,76.43,76.43,76.43,0.23000000,13/01/2026 20:15:14
